DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\core\cache\backends\__init__.py first seen with mtime 1659963809.6681032
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\core\mail\__init__.py first seen with mtime 1659963809.6837296
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\warnings.py first seen with mtime 1630350135.0
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\openpyxl\reader\strings.py first seen with mtime 1645364945.781383
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\core\files\temp.py first seen with mtime 1659963809.6837296
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\asyncio\transports.py first seen with mtime 1630350135.0
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\template\engine.py first seen with mtime 1659963809.8114297
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\DLLs\_uuid.pyd first seen with mtime 1631829623.0
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\openpyxl\worksheet\cell_range.py first seen with mtime 1645364945.8130264
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File D:\Django Projects\Ongoing Projects\ICareGameCredits\icaregamecredits\icgc_app\admin.py first seen with mtime 1663243478.1310132
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\middleware\csrf.py first seen with mtime 1659963809.8114297
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\http\cookie.py first seen with mtime 1659963809.79576
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\openpyxl\drawing\line.py first seen with mtime 1645364945.765757
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\openpyxl\pivot\fields.py first seen with mtime 1645364945.781383
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\contrib\sites\shortcuts.py first seen with mtime 1659963809.5270226
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\site-packages\django\utils\ipv6.py first seen with mtime 1659963809.8426816
DEBUG 2022-09-19 19:10:57,489 autoreload 17924 27856 File C:\Users\LloydQueen\Anaconda3\envs\py39slim\Lib\ctypes\wintypes.py first seen with mtime 1630350135.0
